Paper Name,Keywords,Domains,Abstract,Publication Date,Author,Keyword Clusters,Paper Cluster
Integration of Ontologies and Constraint Satisfaction Problems for Product Configuration,"['product configuration', 'knowledge', 'ontology', 'constraints satisfaction problem', 'engineering management', 'conferences', 'wheels', 'ontologies', 'industrial engineering', 'filtering algorithms', 'cognition']",['Engineering sciences [physics]'],"['In this work, the domain is a product or system configuration. We focus on ontologies, Constraint Satisfaction Problems (CSPs), and their integration. The aim is to capitalize knowledge and define mechanisms that will permit reasoning to find configuration problem solutions regarding customers' requirements. On one hand, an ontology is used to formalize and capitalize knowledge about products or systems structure including concepts, systems, subsystems, components, relationships, attributes, and their possible values. Protégé 5.5.0 is used to create the ontology. On the other hand, we used CSPs to formalize the relationships between attributes values or between concepts that are allowed or forbidden. CSPs (restricted to compatibility tables) are translated into rules to be integrated into the ontology using the SWRL. Therefore, we defined a filtering algorithm based on arc consistency to restrict the domains by removing inconsistent values. First, related works on ontologies, CSPs are presented. The formalization of the ontology, CSPs, and their translation into SWRL rules and their use are presented. Finally, an illustrative application based on the configuration of a simplified bike is presented.']",2021/12/13,['Michel Aldanondo'],"['Cluster 3', 'Cluster 9', 'Cluster 9', 'Cluster 19', 'Cluster 3', 'Cluster 12', 'Cluster 13', 'Cluster 9', 'Cluster 3', 'Cluster 20', 'Cluster 8']",Cluster 3
A Proposal for Automatic Demand Forecast Model Selection,"['automatic model selection', 'time series', 'demand forecast', 'hyperparameter optimization']",['Other [cs.OH]'],"['Demand forecasting is critical within collaborative networks, enabling suppliers,manufacturers, and retailers to synchronize their operations and achieve enhanced supply chain efficiency. Despite a wealth of research on time series forecast model selection and the availability of numerous forecast models, selecting the most appropriate model for a specific time series remains a challenging task. In this study, an automatic demand forecast model selection procedure is proposed that includes a wide range of statistical andmachine learning forecast models. The optimization of the hyperparameters is performed on all the models. The study is validated on M3 monthly data, outperforming all submitted methods and demonstrating significant improvements in terms of accuracy. The approach was also applied to a collaborative network company.']",2024/10/28,"['Wassim Garred', 'Raphaël Oger', 'Anne-Marie Barthe-Delanoe', 'Matthieu Lauras']","['Cluster 17', 'Cluster 1', 'Cluster 16', 'Cluster 20']",Cluster 17
A Business Continuity Robustness Assessment Approach Through Disruption’s Sociological Indicators,"['business continuity management', 'sociological factors', 'robustness', 'assessment tools', 'risk management']",['Engineering sciences [physics]'],"['During the last years, International Organizations for Standardization have been developing many quality management tools which are being implemented by several types of organizations. These tools are especially being implemented to manage disasters and reduce activity disruptions’ consequences. However, monitoring the performance of the organizational norm requires developing metrics and assessment tools that can be used easily and on a daily basis to make organizations more resilient to crisis situations. The management tool that this research work considers is the “Business Continuity Plan” known as BCP. One way to assess this type of plan is to define, design then test quantifying and qualifying keys to measure its robustness.']",2022/10/12,"['Oussema Ben Amara', 'Daouda Kamissoko', 'Frederick Benaben']","['Cluster 14', 'Cluster 14', 'Cluster 18', 'Cluster 5', 'Cluster 6']",Cluster 14
An innovative approach for project launch decision-making in risk and multi-criteria situations,"['decision', 'criteria', 'risk', 'multicriteria', 'project', 'scenario']",['Engineering sciences [physics]'],"['The realization of infrastructures and the deployment of processes can follow project\r\nformalism. Generally, a project goes through a design and a realization phase. Between\r\nthese two phases, there is a crucial milestone: Launching the project, which is not at all an easy decision and constitutes a real problem. The main reasons to this are the numerous numbers of criteria (For Technical, Economic, Social, Environmental dimensions) and risks in the sense of feared event. Criteria and risks are most of the time not considered due to lack of time (for formalization) and the difficulty to handle them. The objective of this paper is to propose a relevant approach to make the decision of launching the project or not. The proposal outlined is innovative in that it can consider indicators based on several appropriate criteria, the associated risks and their ways of management. The fact to consider several criteria and risks, increases the probability of making the right decision. The proposed approach allows managing risks by determining acceptable scenarios, thus maximizing project aptitude to fulfil the objectives.']",2020/05/27,"['Daouda Kamissoko', 'François Marmier', 'Didier Gourc', 'Antoine Clément']","['Cluster 1', 'Cluster 5', 'Cluster 6', 'Cluster 8', 'Cluster 1', 'Cluster 1']",Cluster 1
Continuuous assessment of the resilience of critical infrastructure: the Nantes ring road flood experimental scenario,"['flooding', 'critical infrastructures', 'experimental scenario']",['Engineering sciences [physics]'],"['Flooding is frequent on the Nantes ring road and disrupts users dependent on this mode of transport directly or indirectly. To deal with them, the road operator has defined preventive and curative measures based essentially on the flow of the river involved in the submergence of the roadway. The RESIIST (Resilience of Interconnected Infrastructures and Systems) research project aims to develop a methodology and tools to assess the resilience of Critical Infrastructures (within the meaning of European Directive 2008/114/EC), of which we find the ring road. In order to test them, a scenario will be used to simulate the events likely to cause flooding, characterise the disturbances caused by these events and the interactions with adjacent road infrastructures and present a decision aidingbased on the road operator's  criteria.  RESIIST  can  contribute  to  improving  the  resilience  of  critical  infrastructures  by  enabling stakeholders to continuously monitor data from the context, to interpret them and deduce the disruption’s risks on infrastructure and territory and finally to benefit from proposals for solutions adapted and corresponding to their decision criteria. More modestly, this scenario could serve as a support in discussions on possible work concerning the ring road and the crisis management protocols.']",2021/06/22,['Daouda Kamissoko'],"['Cluster 1', 'Cluster 3', 'Cluster 16']",Cluster 1
Towards a Collaborative and Open Supply Chain Management Operating Services Platform,"['supply chainmanagement', 'collaborative information systems', 'decision support systems', 'uncertainty', 'risk management']",['Engineering sciences [physics]'],"['Supply  Chain  (SC)  uncertainty perspectives  must  now  be  translated into practice. SC entities must accept crises and catastrophes as normal situations and  increase  significantly  their  culture  of SC risk  management.  They  should adapt their decision-support systems to be able considering disruptions as regular inputs, whether small, large or huge. Collaboration should not be limited to few entities  of  a SC,  but  to  the  whole SC.  Concrete tools  allowing  entities to  share vital information to give visibility, ensure synchronization of the material flows, align  management  of  emergencies   and   use   of  critical  resources  must   be developed and used. That is the purpose of this paper. Practically, aframework for SC risk and opportunity management and a Collaborative and Open Supply Chain Management Operating Services (COSMOS) platform are presented. An illustrative case is developed to highlight the potential benefits of the proposal on one service example.']",2021/11/22,"['Matthieu Lauras', 'Jiayao Li', 'Benoit Montreuil']","['Cluster 2', 'Cluster 12', 'Cluster 8', 'Cluster 18', 'Cluster 6']",Cluster 2
Study of the impact of scrolling time parameters on the performance of a DDMRP method deployment,"['ddmrp', 'lead time', 'parameter setting']",['Engineering sciences [physics]'],[],2019/06/25,"['Guillaume Martin', 'Jacques Lamothe', 'Matthieu Lauras']","['Cluster 1', 'Cluster 1', 'Cluster 16']",Cluster 1
A recommendation system for personalized daily life services to promote frailty prevention,"['recommendation process', 'recommender systems', 'elderly', 'frailty']",['Engineering sciences [physics]'],"['Frailty is a clinical syndrome that commonly occurs in older adults and characterizes an intermediate state between robust health and the loss of autonomy. As such, it is crucial to identify and evaluate\r\nfrailty to preserve the abilities of older adults and reduce the loss of their functional capabilities. This paper proposes a personalized service recommendation framework designed, to assist senior citizens in selecting\r\nappropriate services, to prevent frailty and improve autonomy. This framework is based on a multidimensional evaluation of the elderly person, considering both user’s status information and service-related data. It defines a four steps recommendation process, including personal characteristics identification, needs identification, service types identifi- cation, and service identification. To support this, both knowledge-based and rule-based approaches are defined and employed to generate personalized recommendations that align with the individual’s specific needs. The effectiveness of the proposal is evaluated using different representative scenarios, of which an example is described in detail that demonstrates the developed recommendation process, algorithms and relevant rules.']",2023/09/04,"['Ghassen Frikha', 'Xavier Lorca', 'Elyes Lamine']","['Cluster 12', 'Cluster 12', 'Cluster 10', 'Cluster 1']",Cluster 12
Buildings energetic improvement: first elements about isolating panels layout design,"['building energetic retrofit', 'isolating panels layout design', 'cutting', 'packing problem', 'configuration problem', 'layout optimization', 'constraint-based approaches']",['Engineering sciences [physics]'],"['The goal of this communication is to present the first ideas and proposition about the panels layout design problem in order to improve building energetic performances. First the origins and interest of the problem are presented. In two words, too many buildings with poor energetic performances and too low ratio of replacement lead to a very strong energetic retrofit need. Consequently, we describe the panels layout design problem, discuss some related works and propose the very first ideas in order to solve it with a heuristic approach. An example illustrates the problems and the propositions.']",2022/03/28,"['Michel Aldanondo', 'Julien Lesbegueries', 'Christophe Andrea', 'Xavier Lorca']","['Cluster 3', 'Cluster 3', 'Cluster 1', 'Cluster 13', 'Cluster 11', 'Cluster 20', 'Cluster 19']",Cluster 3
A Methodology for Implementing a Product-Centred Bid Model for Suppliers,"['knowledge management', 'product modelling / models', 'design methodology', 'offer model implementation', 'bid process']",['Engineering sciences [physics]'],"['Early phases of product development are critical for next phases and impact the product definition. During bid process, suppliers generate offers for a customer that must both meet customer's requirements and be realizable in terms of technical aspects, costs and due date. Our aim is to propose a methodology for implementing a generic bid model, composed of context parameters, customer's requirements, the product i.e. technical solution, its delivery process, and associated risks. Key Performance Indicators allow to evaluate different solutions. The bid model is exploited with two different approaches. First, we use Constraint Satisfaction Problems to formalize expert knowledge and identify variables/constraints and relations. Second, we use case database to reuse past experiences. This model and the methodology are applied with a company developing harbour cranes. An initialisation phase allows to define existing bid process. Then, the generic model is adapted through a specialisation phase, using specific knowledge from company's experts. Finally, the specific model is implemented and tested in an implementation phase. Future work will be focused on a software tool development.']",2019/08/05,['Delphine Guillon'],"['Cluster 9', 'Cluster 17', 'Cluster 3', 'Cluster 17', 'Cluster 3']",Cluster 17
Automatic Information Retrieval from Tweets: A Semantic Clustering Approach,"['bert', 'word embedding', 'information retrieval']",['Engineering sciences [physics]'],"['Much has been said about the value of social mediamessages for emergency services. The new uses related tothese platforms bring users to share  information, otherwise  unknown in crisis events. Thus,  many  studies have been performedin orderto identify tweets relating toa crisis event or to classify these tweets according to certain categories. However, determining the  relevant  information  contained  in  the  messages  collected  remains  the responsibility  of  the  emergency  services.  In  this  article,  we introducethe issue of  classifying  the  information contained  in  the  messages.  To  do  so,  we  use  classes  such  as  those  usedby  the  operators  in  the call  centers.Particularly we show that this problem is related to named entities recognition on tweets. We then explain that a semi-supervised approach might be beneficial,as the volume of data to perform this task is low.In a second part, we presentsome of the challenges raisedby this problematicand different ways to answer it.Finally, we explore one of them and its possible outcomes.']",2020/05/24,"['Julien Coche', 'Aurelie Montarnal', 'Frederick Benaben']","['Cluster 1', 'Cluster 9', 'Cluster 9']",Cluster 9
Actionable Collaborative Common Operational Picture in Crisis Situation: A Comprehensive Architecture Powered with Social Media Data,"['crisis management', 'metamodel', 'natural language processing', 'social media']","['IT [cs]', 'Text and document processing']","['Previous works in social media processing during crisis management highlight a paradox: citizens are extensively sharing data from the field of the crisis, while decision-makers are looking for information about the emerging risks they need to address. Several tools already exist to help taking advantage of this new important source of data. However, few made their way to decision-makers, mainly because they remain resource-consuming. That is why the question of a tool, able to process social media in near-real time, to deliver actionable information from the field is still pending. Based on a state of the art of the Natural Language Processing tools and systems dedicated to the use of social media data to improve the situational awareness of the decision-makers, this paper aims to describe a way to provide them with a first comprehensive system which asset is to completely address the challenge, from the collection of the data to their interpretation and understanding and finally offer situational models. In this sense, the paper focuses on the thorough detail of the business and consequent technical challenges that are raised, and a work in progress proposal to address them in a comprehensive manner.']",2019/09/23,"['Julien Coche', 'Aurelie Montarnal', 'Frederick Benaben']","['Cluster 15', 'Cluster 17', 'Cluster 9', 'Cluster 12']",Cluster 15
Social media processing in crisis response : an attempt to shift from data to information exploitation.,"['disaster information', 'resilience', 'for emergency and crisis technologies', 'crisis', 'metamodel', 'natural language processing', 'social media']",['Engineering sciences [physics]'],"['Information about the ongoing events is of the utmost importance during emergencies. Previous work in crisis informatics found new ways to pull data from unexploited sources, such as social media. But while the volume of information is crucial, the way the information is reported and provided becomes increasingly important as the volume grows. Yet, little has been achieved on information management. This article proposes a way to automatically organize information from social media data up to decision-makers. This organization is enabled by a metamodel \\cite{benaben_metamodel_2016} designed to model crucial information in crises. The article is organized as follows. First, the organization of current social media processing systems is presented. Then, the article presents the metamodel used and how it is relevant to organized information in crisis events through the lens of the 6W's \\cite{kropczynski_identifying_2018}. Finally, it walks through the implementation of the proposal based on the two previous parts.']",2021/01/04,"['Julien Coche', 'Aurelie Montarnal', 'Frederick Benaben']","['Cluster 15', 'Cluster 4', 'Cluster 15', 'Cluster 15', 'Cluster 17', 'Cluster 9', 'Cluster 12']",Cluster 15
Actionability in a Situation Awareness world: Implications for social media processing system design,"['actionable information', 'situation awareness', 'social media', 'crisis management']",['Engineering sciences [physics]'],"['The field of crisis informatics now has a decade-long history of designing tools that leverage social media to support decision-makers situation awareness. Despite this history, there remains few examples of these tools adopted by practitioners. Recent fieldwork with public safety answering points and first responders has led to an awareness of the need for tools that gather actionable information, rather than situational awareness alone. This paper contributes to an ongoing discussion about these concepts by proposing a model that embeds the concept of actionable information into Endsley's model of situation awareness. We also extend the insights of this model to the design implications of future information processing systems.']",2021/05/23,"['Julien Coche', 'Aurélie Montarnal', 'Frederick Benaben']","['Cluster 8', 'Cluster 8', 'Cluster 12', 'Cluster 15']",Cluster 8
AdoBPRIM: Towards a New Healthcare Risk-aware Business Process Management Tool,"['medication use process', 'medication error', 'risk-aware business process management', 'bprim', 'adoxx']",['Engineering sciences [physics]'],"['Performing risk management in healthcare facilities is particularly difficult due to the highly dynamic, complex, and multi-disciplinary nature of healthcare processes like the Medication Use Process (MUP). Risk-aware Business Process Management (R-BPM) is a promising approach to obtain a better understanding of such processes by identifying and analyzing corresponding risks. However, not all R-BPM approaches perform well in capturing the complexity of clinical processes. In this work, we introduce a new R-BPM framework called BPRIM that allows the identification and the analysis of medication error risks related to the complex medication use process. BPRIM is implemented using the ADOxx meta-modelling platform and then tested in a real case study. The tool is specific to the case study, but the framework can be used also in other healthcare processes.']",2020/02/24,['Dominik Bork'],"['Cluster 10', 'Cluster 10', 'Cluster 6', 'Cluster 1', 'Cluster 1']",Cluster 10
An approach to support enterprises during an economic crisis,"['collaborative networks', 'risk management', 'collaboration detection', 'economic crisis']",['Engineering sciences [physics]'],"['One of the main reasons for an enterprise to achieve its goals and objectives as a business organization is the ability to avoid risks as much as possible. In an economic crisis enterprises are facing various issues impacting their missions. A way to deal with these issues could be the ability to improve the flexibility and the relevance of collaboration. Thus, enterprises could be able to adapt their collaborations (customers, suppliers, service providers, etc.) in a more reactive way and absorb in an easier way the drawbacks of the faced crisis. So how can we support enterprises in choosing their collaborative partners and how can we optimize this process. In this article we propose an approach that helps enterprises chose their most compatible partner based on the industrial classification 'NACE code' as well as KPI classification. Also, a use case from the automotive industry is presented, to illustrate the prediction and selection process for collaborative partners.']",2020/11/17,"['Ibrahim Koura', 'Frederick Benaben']","['Cluster 12', 'Cluster 6', 'Cluster 12', 'Cluster 15']",Cluster 12
Digital Twin in Healthcare: Security Threat Meta-Model,"['privacy', 'smart cities', 'medical services', 'organizations', 'real-time systems', 'digital twins', 'internet of things']",['Engineering sciences [physics]'],"['A virtual mirrored replica of the real-world, has become a new trend in recent years with the advent of Industry 4.0, shows how intelligent digital twins (DT) can unlock busi-ness value. The implementation of DT requires various types of technologies, including the Internet of Things (IoT), cloud computing, artificial intelligence, and others. Today, DTs can be used in various fields, including manufacturing, smart cities and healthcare. It can be used to monitor the real environment, predict its future, control its behavior, and improve its overall performance. Despite the aforementioned advantages of DTs, if not protected, they can also be considered as an open environment for attackers. If attackers take over a DT, they may end up owning the real environment controlled by the DT. This can result in damaging consequences. This paper explores the potential security and privacy threats that may be brought in through DTs. It proposes and presents a threat meta-model of DTs that identifies key security aspects of concern.']",2022/12/05,"['Franck Fontanili', 'Elyes Lamine', 'Jacques Lamothe']","['Cluster 12', 'Cluster 7', 'Cluster 10', 'Cluster 14', 'Cluster 7', 'Cluster 7', 'Cluster 7']",Cluster 7
Simulation and analysis of disruptive events on a deterministic home health care routing and scheduling solution,"['analytical models', 'schedules', 'sociology', 'medical services', 'aging', 'routing', 'delays']",['Engineering sciences [physics]'],"['Due to the aging of populations and a desire to relieve the growing demand on medical structures in recent years, the demand for home health care services has been increasing, and the Home Health Care Routing and Scheduling Problem (HHCRSP) is now among the most intensely studied optimization problems. However, most studies on the HHCRSP are based on deterministic models that do not consider any disruptions that may compromise the execution of the schedules. In this paper, we analyze the impact of different sources of disturbances on a deterministic schedule : delays at the start of the route, variability of travel time, and variability of service processing time. Simulation has been chosen because it helps to easily model and analyze complex environments with several sources of variability. Graphical representations and an analysis of variance are presented to interpret the results, leading to several managerial insights and openings for future research.']",2022/12/11,"['Guillaume Dessevre', 'Clea Martinez', 'Franck Fontanili']","['Cluster 17', 'Cluster 11', 'Cluster 12', 'Cluster 10', 'Cluster 1', 'Cluster 11', 'Cluster 1']",Cluster 11
Tool for Nervousness Analysis in a Rolling Planning Environment via Historical Data,"['tactical planning', 'rolling horizon', 'instability', 'nervousness']","['Other', 'IT [cs]', 'Modelling and simulation', 'Optimisation and control [math.OC]', 'Statistics [math.ST]']",['This paper analyses the modifications of plans exchanged between supply chain actors in a tactical planning rolling horizon process. A particular focus is on the changes of planned quantities in order to respond to fluctuating demand or to adapt to internal contingencies of the organization. They create instability and nervousness in the planning system. This paper presents a data-driven study to compare the behavior of planning decision makers in a context of certain and uncertain demand. We show through simulation and statistical analysis the effect of decision characteristics of one actor on the system nervousness and the resulting uncertainty for the other actors.'],2021/09/05,"['Walid Khellaf', 'Jacques Lamothe']","['Cluster 8', 'Cluster 1', 'Cluster 0', 'Cluster 18']",Cluster 8
Analysis of a Collaborative Resilient Solution Based on Real-Time Re-Optimization for Home Health Care Routes Subject to Disruptions by Discrete Event Simulation,"['home health care routing & scheduling problem', 'resilience', 'discrete event simulation', 'optimization']",['Engineering sciences [physics]'],"['Home health care centers face many variations during the execution of routes, compromising initial solution planning. Several studies propose robust solutions to counter small variations, but very few are interested in resilient solutions to counter disruptions. In this paper, we propose a collaborative resilient approach based on real-time re-optimization of caregivers’ routes by considering environmental data at the time the disruption comes out (remaining visits, current position of caregivers, etc.). We analyze and compare this new approach with two others from the literature using discrete event simulation. Our approach reduces the total delay time in most scenarios (by 50% to 90% in the best cases) and outperforms literature approaches in half of the cases. These primary results show that there are many avenues for improvement, such as the development of a better solver or a heuristic and the hybridization between different resilient approaches.']",2023/09/27,"['Guillaume Dessevre', 'Clea Martinez', 'Christophe Bortolaso']","['Cluster 11', 'Cluster 4', 'Cluster 17', 'Cluster 20']",Cluster 11
Generating Personalized and Certifiable Workflow Designs: A Prototype,"['cartography generation', 'design compliance', 'business alignment', 'workflow design']",['Engineering sciences [physics]'],"['As the first level of a BPM strategy, being able to design event-oriented models of processes is a must-have competence for every modern business. Unfortunately, industrial procedures have reached a certain complexity making the designing task complex enough to discourage businesses facing the blank page. Moreover, the 21st century witnesses the emergence of myriads of norms and external regulations that businesses want to abide by. Although domain experts have a limited process modelling and norm interpretation knowledge, they know how to describe their activities and their sequencing. With progresses made in the artificial intelligence, particularly in the natural language processing domain, it becomes possible to automatize the task of creating a process in compliance with norms. This paper presents a business-oriented prototype assisting users in getting certifiable specific business processes. We detail the metamodel used to separately model norms and business’ existing procedures and then, the algorithm envisaged to deduce a corresponding cartography of processes.']",2019/06/25,"['Manon Froger', 'Sébastien Truptil', 'Nicolas Boissel-Dallier']","['Cluster 16', 'Cluster 3', 'Cluster 14', 'Cluster 3']",Cluster 3
Simulation of mutual aid between two emergency services for handling emergency calls,"['samu', 'entraide', 'simulation', 'virtualisation']","['Computer-aided engineering', 'Modelling and simulation', 'Biomedical engineering', 'Public health and epidemiology']","['L'accès sans délai à un SAMU constitue un enjeu central pour les patients et particulièrement ceux dans les situations les plus graves. Répondre à cet objectif stratégique appelle non seulement à mettre en adéquation la planification des professionnels avec la charge d'appels et aussi à optimiser les organisations. Confrontés à une augmentation du nombre d'appels qui leur sont destinés, les SAMU cherchent à faire évoluer leurs organisations internes. L'objectif de cet article est d'évaluer, à l'aide de la simulation, l'impact d'une nouvelle organisation sous la forme d'une virtualisation de la distribution des appels permettant une entraide entre différents SAMU de la région Pays de la Loire. Cet article présente les premiers résultats obtenus avec deux SAMU dans le cadre du projet CallSAMU financé par la DGOS et porté par le CHU de Nantes.']",2022/07/06,"['Nicolas Cellier', 'Clea Martinez', 'Yann Penverne']","['Cluster 1', 'Cluster 1', 'Cluster 16', 'Cluster 7']",Cluster 1
An Intelligent Decision Support System Inspired by Newton’s Laws of Motion,"['physics of decision', 'newton’s law of motions', 'modelling', 'performance management', 'decision support system', 'simulation']",['Operations research [math.OC]'],"['The purpose of this study is to present a novel perspective on decision technology based on classical physics rules, considering risks and opportunities as physical forces deviating systems as an object from their stable states. The forces are created by changing the internal and external characteristics of the system. The ultimate objective is to propose a multi-criteria performance framework within the geometrical space of the system Key Performance Indicators (KPIs) based on classical physics rules by mapping management concepts onto physical notations. The present study is tuned to a model of interaction between the inventory management module and the workforce supply chain to present the main work. In addition, the significance of the study as an intelligent decision system to manage the given model through Newton laws is investigated.']",2022/06/20,"['Nafe Moradkhani', 'Frederick Benaben', 'Matthieu Lauras', 'Clara Le Duff']","['Cluster 8', 'Cluster 16', 'Cluster 17', 'Cluster 5', 'Cluster 8', 'Cluster 16']",Cluster 8
Design of a service recommendation platform to help prevent frailty among the elderly,"['recommendation systems', 'seniors', 'fragilité', 'recommendation algorithm', 'personalised recommendations']","['IT [cs]', 'Engineering sciences [physics]']",[],2023/06/07,"['Xavier Lorca', 'Christophe Bortolaso']","['Cluster 12', 'Cluster 1', 'Cluster 1', 'Cluster 12', 'Cluster 12']",Cluster 12
Prospective study of a decision support environment made configurable by models,"['operations management', 'operational research', 'problem of the commercial traveller', 'meta-modelling tools', 'model driven engineering', 'decision support']",['Engineering sciences [physics]'],[],2021/05/05,"['Liwen Zhang', 'Christophe Bortolaso', 'Mustapha Derras']","['Cluster 3', 'Cluster 3', 'Cluster 13', 'Cluster 17', 'Cluster 17', 'Cluster 8']",Cluster 3
Model Transformation from CBM to EPL Rules to Detect Failure Symptoms,"['knowledge base', 'model transformation', 'cost reduction', 'expert systems', 'information management', 'safety engineering', 'software architecture', 'condition-based maintenance', 'monitoring and analysis', 'prognostics and health managements', 'software design']",['Engineering sciences [physics]'],"['The increasing complexity of modern systems, cost reduction policies and ever increasing safety requirements are bringing new challenges to the maintenance domain. In many fields, periodic maintenance actions become either insufficient or too expensive. In this context, Condition-Based Maintenance (CBM) strategies, and Prognostics and Health Management (PHM) in particular, are offering an interesting alternative by allowing systems to be maintained only when needed. These strategies rely on a constant monitoring and analysis of the systems operating conditions in order to detect and identify a failure when it occurs and even sometimes beforehand.\r\n\r\nNowadays, two main approaches are explored to detect failures in PHM solutions: one based on machine learning, the other based on expertise and capitalised system knowledge. This work proposes to combine a Complex Event Processing (CEP), to manage incoming data’s volumetry and velocity, with an Expert System (ES) in charge of exploiting the capitalized knowledge. This paper focuses on the configuration of a CEP from rules contained in a CBM ES using a Model Driven Architecture (MDA). This configuration is a challenge, especially regarding the management of rules with temporal parameters and the need for intermediate results to deal with the rule’s complexity.']",2020/02/25,"['Sébastien Truptil', 'Jérémy Bascans']","['Cluster 9', 'Cluster 17', 'Cluster 14', 'Cluster 8', 'Cluster 8', 'Cluster 4', 'Cluster 17', 'Cluster 11', 'Cluster 5', 'Cluster 10', 'Cluster 3']",Cluster 17
Generic knowledge extraction from textual data and measuring the performance of relation extraction systems in an unsupervised context.,"['automatic language processing', 'performance measurement', 'knowledge extraction', 'knowledge base']",['Engineering sciences [physics]'],[],2021/05/05,['Anne-Marie Barthe-Delanoë'],"['Cluster 9', 'Cluster 5', 'Cluster 9', 'Cluster 9']",Cluster 9
Assessing the potentialities of Physical Internet for Developing Countries Last Mile deliveries,"['physical internet', 'supply chain', 'logistics', 'last mile delivery', 'simulation', 'developing countries', 'cambodia']","['Modelling and simulation', 'Engineering sciences [physics]']","['Developing countries are so particular as transports are often saturated, infrastructures are in poor condition and the demand is growing so fast. In such a context, the studied research question is: Does Physical Internet (PI) can improve the Last-Mile delivery performance in developing countries? And if so, how and how-much? To start answering this, the paper develops a quick literature analysis of PI solutions to identify which paradigms could bring added value to developing countries. Then, it presents a dedicated simulation-driven method able to assess the potential benefits and limits of applying PI to this specific situation. A Cambodian field-oriented case is finally presented as a very first ongoing experiment to validate the approach and a set of insights regarding further research able to deliver concrete recommendations for both practitioners and scholars is given.']",2021/06/14,"['Sam Ban', 'Félix Guinet', 'Julien Portanguen', 'Matthieu Lauras', 'Sarot Strong']","['Cluster 7', 'Cluster 2', 'Cluster 13', 'Cluster 13', 'Cluster 16', 'Cluster 14', 'Cluster 1']",Cluster 13
Toward an Innovative Risk- and Opportunity- Oriented System for SMEs’ Decision-Makers,"['decision support system', 'risk', 'opportunity', 'controlling', 'pme']",['Engineering sciences [physics]'],[],2021/05/05,"['Romain Ben Taleb', 'Aurelie Montarnal', 'Matthieu Lauras']","['Cluster 8', 'Cluster 6', 'Cluster 1', 'Cluster 1', 'Cluster 1']",Cluster 1
Towards interconnected urban logistics for developing countries,"['physical internet', 'last-mile delivery', 'developing countries', 'double digital']",['Engineering sciences [physics]'],[],2023/06/14,"['Sam Ban', 'Matthieu Lauras']","['Cluster 7', 'Cluster 13', 'Cluster 14', 'Cluster 7']",Cluster 7
Traceability and Risk Management in Multi-modal Container Transport: A Small - Scale Review of methods and technologies,"['smart container', 'traceability', 'internet of things', 'supply chain risk management', 'containers', 'supply chains', 'risk management', 'supply chain management', 'real-time systems', 'companies']",['Engineering sciences [physics]'],"['Increasing flexibility and responsiveness are the opportunities smart logistics offers to companies. With the development of the supply chain network (SCN) and big data processing, a simple view at above two technologies separately has become unadvisable. This work deals with the traceability and supply chain risk management of containers during shipping expeditions using real-time Data. The main objective of this article is to make a state of the art of proposed solutions to improve the efficiency of the supply chain by acting on risk management in containers transport. A future approach to improve the real-time management of shipments by taking into account random events is mentioned.']",2020/10/28,"['Cheik Aboubakar Ouedraogo', 'Sina Namakiaraghi', 'Aurelie Montarnal', 'Matthieu Lauras', 'Didier Gourc']","['Cluster 13', 'Cluster 5', 'Cluster 7', 'Cluster 2', 'Cluster 13', 'Cluster 2', 'Cluster 6', 'Cluster 2', 'Cluster 7', 'Cluster 14']",Cluster 2
"Evaluating the Process Capability Ratio of Patients’ Pathways by the Application of Process Mining, SPC and RTLS","['patient’s pathways', 'statistical process control', 'process mining', 'real-time location systems']",['Engineering sciences [physics]'],"['Learning how patients receive their health treatments is a critical mission for hospitals. To fulfill this task, this paper defines patients’ pathways as business process models and tries to apply process mining, real-time location systems(RTLS), and statistical process control (SPC) as a set of techniques to monitor patients’ pathways. This approach has been evaluated by a case study in a hospital living lab. These techniques analyze patients’ pathways from two different perspectives: (1)control-flow and (2)performance perspectives. In order to do so, we gathered the location data from movements of patients and used a proof of concept framework known as R.IO-DIAG to discover the processes. To elevate the performance analyses, this paper introduces the process capability ratio of the patients’ pathways by measuring the walking distance. The results lead to the evaluation of the quality of business processes.']",2019/02/22,"['Sina Namaki Araghi', 'Franck Fontanili', 'Elyes Lamine', 'Nicolas Salatge', 'Julien Lesbegueries', 'Sebastien Rebiere Pouyade', 'Frederick Benaben']","['Cluster 10', 'Cluster 0', 'Cluster 8', 'Cluster 7']",Cluster 10
